"Bairros","Num_jogador"
"",675
"AFLITOS",1
"AFOGADOS",38
"AGUA FRIA",15
"ALTO DO MANDU",4
"ALTO JOSE BONIFACIO",2
"ALTO JOSE DO PINHO",19
"ALTO SANTA TEREZINHA",18
"APIPUCOS",14
"AREIAS",158
"ARRUDA",20
"BARRO",21
"BEBERIBE",71
"BOA VIAGEM",33
"BOA VISTA",2
"BOMBA DO HEMETERIO",48
"BONGI",29
"BRASILIA TEIMOSA",63
"BREJO DA GUABIRABA",21
"BREJO DE BEBERIBE",5
"CABANGA",19
"CACOTE",16
"CAJUEIRO",13
"CAMPINA DO BARRETO",57
"CAMPO GRANDE",18
"CASA AMARELA",9
"CASA FORTE",3
"CAXANGA",5
"CIDADE UNIVERSITARIA",23
"COELHOS",46
"COHAB",42
"COQUEIRAL",30
"CORDEIRO",38
"CORREGO DO JENIPAPO",54
"CURADO",45
"DOIS IRMAOS",71
"DOIS UNIDOS",99
"ENCRUZILHADA",1
"ENGENHO DO MEIO",4
"ESTANCIA",22
"FUNDAO",7
"GRACAS",1
"GUABIRABA",27
"IBURA",106
"ILHA DO RETIRO",2
"ILHA JOANA BEZERRA",83
"IMBIRIBEIRA",106
"IPSEP",30
"IPUTINGA",22
"JARDIM SAO PAULO",15
"JIQUIA",27
"JORDAO",46
"LINHA DO TIRO",35
"MACAXEIRA",125
"MADALENA",41
"MANGABEIRA",4
"MANGUEIRA",45
"MARANGUAPE",3
"MORRO DA CONCEICAO",2
"MUSTARDINHA",62
"NAO INFORMADO",14
"NOVA DESCOBERTA",97
"PARNAMIRIM",2
"PASSARINHO",10
"PAU FERRO",1
"PEIXINHOS",6
"PINA",8
"POCO",2
"PORTO DA MADEIRA",16
"PRADO",31
"RECIFE",21
"SAN MARTIN",94
"SANCHO",38
"SANTANA",3
"SANTO AMARO",36
"SAO JOSE",9
"SITIO DOS PINTOS",1
"TAMARINEIRA",1
"TEJIPIO",32
"TORRE",40
"TORREAO",5
"TORROES",46
"TOTO",81
"VARZEA",70
"VASCO DA GAMA",57
"ZUMBI",5
