local;genero;unid_domestica;Total;15 a 19 anos;20 a 24 anos
Brasil;Total;Total;100;1,15;4,9
Brasil;Total;Unipessoal;12,18;0,12;0,54
Brasil;Total;Nuclear;66,29;0,71;3,36
Brasil;Total;Estendida;19,08;0,25;0,76
Brasil;Total;Composta;2,46;0,06;0,24
Brasil;Homens;Total;61,26;0,54;2,97
Brasil;Homens;Unipessoal;6,23;0,08;0,34
Brasil;Homens;Nuclear;44,33;0,32;2,09
Brasil;Homens;Estendida;9,32;0,11;0,4
Brasil;Homens;Composta;1,37;0,03;0,14
Brasil;Mulheres;Total;38,74;0,61;1,93
Brasil;Mulheres;Unipessoal;5,95;0,05;0,2
Brasil;Mulheres;Nuclear;21,96;0,39;1,27
Brasil;Mulheres;Estendida;9,76;0,14;0,36
Brasil;Mulheres;Composta;1,08;0,03;0,1
Recife;Total;Total;100;0,98;4,15
Recife;Total;Unipessoal;12,68;0,11;0,53
Recife;Total;Nuclear;60,64;0,58;2,62
Recife;Total;Estendida;23,42;0,24;0,8
Recife;Total;Composta;3,26;0,05;0,2
Recife;Homens;Total;52,54;0,45;2,2
Recife;Homens;Unipessoal;5,74;0,06;0,3
Recife;Homens;Nuclear;36,36;0,26;1,44
Recife;Homens;Estendida;8,85;0,1;0,36
Recife;Homens;Composta;1,58;0,02;0,1
Recife;Mulheres;Total;47,46;0,53;1,95
Recife;Mulheres;Unipessoal;6,94;0,05;0,23
Recife;Mulheres;Nuclear;24,29;0,32;1,18
Recife;Mulheres;Estendida;14,56;0,14;0,45
Recife;Mulheres;Composta;1,68;0,03;0,1
Fonte: IBGE - Censo Demográfico;;;;;
