local;religiao;Total;15 a 19 anos;20 a 24 anos
Brasil;Total;100;8,9;9,04
Brasil;Católica Apostólica Romana;64,63;5,67;5,76
Brasil;Católica Apostólica Brasileira;0,29;0,03;0,03
Brasil;Católica Ortodoxa;0,07;0,01;0,01
Brasil;Evangélicas;22,16;1,99;1,9
Brasil;Outras religiosidades cristãs;0,77;0,07;0,07
Brasil;Igreja de Jesus Cristo dos Santos dos Últimos Dias;0,12;0,01;0,01
Brasil;Testemunhas de Jeová;0,73;0,06;0,06
Brasil;Espiritualista;0,03;0;0
Brasil;Umbanda;0,21;0,02;0,02
Brasil;Candomblé;0,09;0,01;0,01
Brasil;Judaísmo;0,06;0;0
Brasil;Hinduísmo;0;0;0
Brasil;Budismo;0,13;0,01;0,01
Brasil;Novas religiões orientais;0,08;0,01;0,01
Brasil;Islamismo;0,02;0;0
Brasil;Tradições esotéricas;0,04;0;0
Brasil;Tradições indígenas;0,03;0;0
Brasil;Outras religiosidades;0,01;0;0
Brasil;Sem religião;8,04;0,87;0,96
Brasil;Não determinada e multiplo pertencimento;0,34;0,03;0,03
Brasil;Não sabe;0,1;0,01;0,01
Pernambuco;Total;100;9,25;9,29
Pernambuco;Católica Apostólica Romana;65,95;6,07;6,06
Pernambuco;Católica Apostólica Brasileira;0,3;0,03;0,03
Pernambuco;Católica Ortodoxa;0,08;0,01;0,01
Pernambuco;Evangélicas;20,34;1,75;1,71
Pernambuco;Outras religiosidades cristãs;0,31;0,03;0,03
Pernambuco;Igreja de Jesus Cristo dos Santos dos Últimos Dias;0,13;0,02;0,01
Pernambuco;Testemunhas de Jeová;0,5;0,04;0,04
Pernambuco;Espiritualista;0,01;0;0
Pernambuco;Umbanda;0,05;0;0
Pernambuco;Candomblé;0,08;0,01;0,01
Pernambuco;Judaísmo;0,03;0;0
Pernambuco;Hinduísmo;0;;0
Pernambuco;Budismo;0,01;0;0
Pernambuco;Novas religiões orientais;0,02;0;0
Pernambuco;Islamismo;0;;0
Pernambuco;Tradições esotéricas;0,03;0;0
Pernambuco;Tradições indígenas;0,03;0;0
Pernambuco;Outras religiosidades;0;0;0
Pernambuco;Sem religião;10,4;1,18;1,25
Pernambuco;Não determinada e multiplo pertencimento;0,21;0,02;0,02
Pernambuco;Não sabe;0,11;0,01;0,01
Recife (PE);Total;100;8,17;9,1
Recife (PE);Católica Apostólica Romana;54,32;4,13;4,68
Recife (PE);Católica Apostólica Brasileira;0,27;0,02;0,03
Recife (PE);Católica Ortodoxa;0,06;0,01;0
Recife (PE);Evangélicas;24,99;2,11;2,13
Recife (PE);Outras religiosidades cristãs;0,69;0,06;0,1
Recife (PE);Igreja de Jesus Cristo dos Santos dos Últimos Dias;0,22;0,02;0,02
Recife (PE);Testemunhas de Jeová;0,35;0,03;0,03
Recife (PE);Espiritualista;0,03;;0
Recife (PE);Umbanda;0,1;0;0,01
Recife (PE);Candomblé;0,14;0,01;0,01
Recife (PE);Judaísmo;0,08;0;0,01
Recife (PE);Hinduísmo;0;;
Recife (PE);Budismo;0,04;;0
Recife (PE);Novas religiões orientais;0,05;0,01;
Recife (PE);Islamismo;0;;0
Recife (PE);Tradições esotéricas;0,07;0;0,01
Recife (PE);Tradições indígenas;0,02;;0
Recife (PE);Outras religiosidades;;;
Recife (PE);Sem religião;14,59;1,55;1,76
Recife (PE);Não determinada e multiplo pertencimento;0,3;0,01;0,02
Recife (PE);Não sabe;0,08;0,01;0,01
Fonte: IBGE  Censo Demográfico;;;;
