Tabela 5429 - Rendimento médio nominal, habitualmente recebido por mês e efetivamente recebido no mês de referência, do trabalho principal e de todos os trabalhos, por sexo;;;
Variável - Rendimento médio nominal do trabalho principal, habitualmente recebido por mês, pelas pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho (Reais);;;
Local;Periodo;Rendimento;Genero
Brasil;1º trimestre 2012;1387;Total
Brasil;1º trimestre 2012;1560;M
Brasil;1º trimestre 2012;1143;F
Brasil;2º trimestre 2012;1410;Total
Brasil;2º trimestre 2012;1581;M
Brasil;2º trimestre 2012;1173;F
Brasil;3º trimestre 2012;1433;Total
Brasil;3º trimestre 2012;1610;M
Brasil;3º trimestre 2012;1189;F
Brasil;4º trimestre 2012;1454;Total
Brasil;4º trimestre 2012;1634;M
Brasil;4º trimestre 2012;1206;F
Brasil;1º trimestre 2013;1513;Total
Brasil;1º trimestre 2013;1698;M
Brasil;1º trimestre 2013;1255;F
Brasil;2º trimestre 2013;1553;Total
Brasil;2º trimestre 2013;1745;M
Brasil;2º trimestre 2013;1287;F
Brasil;3º trimestre 2013;1584;Total
Brasil;3º trimestre 2013;1768;M
Brasil;3º trimestre 2013;1329;F
Brasil;4º trimestre 2013;1597;Total
Brasil;4º trimestre 2013;1789;M
Brasil;4º trimestre 2013;1331;F
Brasil;1º trimestre 2014;1662;Total
Brasil;1º trimestre 2014;1866;M
Brasil;1º trimestre 2014;1382;F
Brasil;2º trimestre 2014;1685;Total
Brasil;2º trimestre 2014;1887;M
Brasil;2º trimestre 2014;1408;F
Brasil;3º trimestre 2014;1710;Total
Brasil;3º trimestre 2014;1923;M
Brasil;3º trimestre 2014;1417;F
Brasil;4º trimestre 2014;1734;Total
Brasil;4º trimestre 2014;1936;M
Brasil;4º trimestre 2014;1460;F
Brasil;1º trimestre 2015;1790;Total
Brasil;1º trimestre 2015;1992;M
Brasil;1º trimestre 2015;1513;F
Brasil;2º trimestre 2015;1828;Total
Brasil;2º trimestre 2015;2047;M
Brasil;2º trimestre 2015;1532;F
Brasil;3º trimestre 2015;1835;Total
Brasil;3º trimestre 2015;2044;M
Brasil;3º trimestre 2015;1550;F
Brasil;4º trimestre 2015;1852;Total
Brasil;4º trimestre 2015;2050;M
Brasil;4º trimestre 2015;1581;F
Brasil;1º trimestre 2016;1915;Total
Brasil;1º trimestre 2016;2120;M
Brasil;1º trimestre 2016;1633;F
Brasil;2º trimestre 2016;1922;Total
Brasil;2º trimestre 2016;2121;M
Brasil;2º trimestre 2016;1651;F
Brasil;3º trimestre 2016;1965;Total
Brasil;3º trimestre 2016;2172;M
Brasil;3º trimestre 2016;1684;F
Brasil;4º trimestre 2016;1991;Total
Brasil;4º trimestre 2016;2198;M
Brasil;4º trimestre 2016;1711;F
Brasil;1º trimestre 2017;2035;Total
Brasil;1º trimestre 2017;2238;M
Brasil;1º trimestre 2017;1760;F
Brasil;2º trimestre 2017;2023;Total
Brasil;2º trimestre 2017;2240;M
Brasil;2º trimestre 2017;1732;F
Brasil;3º trimestre 2017;2037;Total
Brasil;3º trimestre 2017;2263;M
Brasil;3º trimestre 2017;1736;F
Brasil;4º trimestre 2017;2065;Total
Brasil;4º trimestre 2017;2294;M
Brasil;4º trimestre 2017;1763;F
Brasil;1º trimestre 2018;2106;Total
Brasil;1º trimestre 2018;2338;M
Brasil;1º trimestre 2018;1799;F
Brasil;2º trimestre 2018;2130;Total
Brasil;2º trimestre 2019;2371;M
Brasil;2º trimestre 2020;1813;F
Brasil;3º trimestre 2018;2157;Total
Brasil;3º trimestre 2018;2388;M
Brasil;3º trimestre 2018;1853;F
Brasil;4º trimestre 2018;2183;Total
Brasil;4º trimestre 2018;2417;M
Brasil;4º trimestre 2018;1877;F
Brasil;1º trimestre 2019;2216;Total
Brasil;1º trimestre 2019;2439;M
Brasil;1º trimestre 2019;1924;F
Brasil;2º trimestre 2019;2214;Total
Brasil;2º trimestre 2019;2439;M
Brasil;2º trimestre 2019;1923;F
Recife;1º trimestre 2012;1877;Total
Recife;1º trimestre 2012;2046;M
Recife;1º trimestre 2012;1688;F
Recife;2º trimestre 2012;2022;Total
Recife;2º trimestre 2012;2172;M
Recife;2º trimestre 2012;1854;F
Recife;3º trimestre 2012;2089;Total
Recife;3º trimestre 2012;2420;M
Recife;3º trimestre 2012;1721;F
Recife;4º trimestre 2012;2171;Total
Recife;4º trimestre 2012;2489;M
Recife;4º trimestre 2012;1835;F
Recife;1º trimestre 2013;2152;Total
Recife;1º trimestre 2013;2343;M
Recife;1º trimestre 2013;1942;F
Recife;2º trimestre 2013;2172;Total
Recife;2º trimestre 2013;2359;M
Recife;2º trimestre 2013;1967;F
Recife;3º trimestre 2013;2118;Total
Recife;3º trimestre 2013;2371;M
Recife;3º trimestre 2013;1838;F
Recife;4º trimestre 2013;2216;Total
Recife;4º trimestre 2013;2578;M
Recife;4º trimestre 2013;1814;F
Recife;1º trimestre 2014;2306;Total
Recife;1º trimestre 2014;2690;M
Recife;1º trimestre 2014;1886;F
Recife;2º trimestre 2014;2456;Total
Recife;2º trimestre 2014;2768;M
Recife;2º trimestre 2014;2092;F
Recife;3º trimestre 2014;2316;Total
Recife;3º trimestre 2014;2686;M
Recife;3º trimestre 2014;1904;F
Recife;4º trimestre 2014;2386;Total
Recife;4º trimestre 2014;2661;M
Recife;4º trimestre 2014;2087;F
Recife;1º trimestre 2015;2454;Total
Recife;1º trimestre 2015;2859;M
Recife;1º trimestre 2015;1990;F
Recife;2º trimestre 2015;2370;Total
Recife;2º trimestre 2015;2663;M
Recife;2º trimestre 2015;2035;F
Recife;3º trimestre 2015;2388;Total
Recife;3º trimestre 2015;2578;M
Recife;3º trimestre 2015;2170;F
Recife;4º trimestre 2015;2367;Total
Recife;4º trimestre 2015;2595;M
Recife;4º trimestre 2015;2108;F
Recife;1º trimestre 2016;2688;Total
Recife;1º trimestre 2016;2959;M
Recife;1º trimestre 2016;2395;F
Recife;2º trimestre 2016;2556;Total
Recife;2º trimestre 2016;2728;M
Recife;2º trimestre 2016;2370;F
Recife;3º trimestre 2016;2737;Total
Recife;3º trimestre 2016;3065;M
Recife;3º trimestre 2016;2353;F
Recife;4º trimestre 2016;2757;Total
Recife;4º trimestre 2016;3070;M
Recife;4º trimestre 2016;2389;F
Recife;1º trimestre 2017;2841;Total
Recife;1º trimestre 2017;3096;M
Recife;1º trimestre 2017;2529;F
Recife;2º trimestre 2017;2886;Total
Recife;2º trimestre 2017;3219;M
Recife;2º trimestre 2017;2479;F
Recife;3º trimestre 2017;2862;Total
Recife;3º trimestre 2017;3310;M
Recife;3º trimestre 2017;2344;F
Recife;4º trimestre 2017;2719;Total
Recife;4º trimestre 2017;2930;M
Recife;4º trimestre 2017;2469;F
Recife;1º trimestre 2018;2945;Total
Recife;1º trimestre 2018;3164;M
Recife;1º trimestre 2018;2693;F
Recife;2º trimestre 2018;2782;Total
Recife;2º trimestre 2019;3057;M
Recife;2º trimestre 2020;2476;F
Recife;3º trimestre 2018;2798;Total
Recife;3º trimestre 2018;3031;M
Recife;3º trimestre 2018;2532;F
Recife;4º trimestre 2018;2676;Total
Recife;4º trimestre 2018;2959;M
Recife;4º trimestre 2018;2375;F
Recife;1º trimestre 2019;2641;Total
Recife;1º trimestre 2019;2961;M
Recife;1º trimestre 2019;2287;F
Recife;2º trimestre 2019;2834;Total
Recife;2º trimestre 2019;3148;M
Recife;2º trimestre 2019;2473;F
